psd_sum,mnf,sm1,sm2,sm3,psr,central_frequency,spectral_entropy,ttp,class,channel
8568.76681757191,117.22194625377769,117.22194625377769,3097.3392521174674,477622.0975352913,0.08069665579180416,107.16279069767442,3.654894549094114,8568.766817571912,0,1
8112.666109818493,114.35008817789218,114.35008817789218,3041.6330116698327,474649.3824847615,0.07152456630786334,103.1937984496124,3.629261324942414,8112.666109818494,0,1
7925.74243002377,110.79158893608367,110.79158893608367,2973.8150784033132,465634.4453848948,0.07742697588445834,103.1937984496124,3.628720612589065,7925.74243002377,0,1
6516.569583804001,109.21865045941801,109.21865045941801,3271.6144988512146,554843.1198257454,0.07759086964283371,99.2248062015504,3.616821695738309,6516.569583804002,0,1
5741.420456731931,111.62760712315232,111.62760712315232,3773.7090579304854,656195.8874012743,0.09873673317279533,95.25581395348837,3.653722180718219,5741.42045673193,0,1
4814.71929168526,114.1278877119209,114.1278877119209,4123.277875881301,707802.9137794501,0.08092396203464433,95.25581395348837,3.7284374640332887,4814.719291685259,0,1
5865.973964270687,114.60088419772902,114.60088419772902,3624.32435383396,580546.446536034,0.08163040789698749,95.25581395348837,3.6902005154000532,5865.973964270688,0,1
3124.246922019327,119.08609661340432,119.08609661340432,4490.552465631851,736569.4855602512,0.0829814117734013,87.31782945736434,3.7815967479371455,3124.2469220193275,0,1
3363.5992632968464,116.89708262292466,116.89708262292466,4671.060747841681,769372.8011813076,0.07889657152014976,71.44186046511628,3.7791647333642118,3363.5992632968464,0,1
2784.3849929943503,120.39753749415523,120.39753749415523,5169.323721248746,833583.5338032431,0.08222439759310052,71.44186046511628,3.82477971954516,2784.384992994351,0,1
946.8567030388697,126.7919156151588,126.7919156151588,7894.104795563939,1332226.2547486469,0.09414525623926291,87.31782945736434,4.054402789961194,946.8567030388697,0,1
481.4415881700708,145.56458702397225,145.56458702397225,11312.895520965054,1671461.7094941214,0.04702726378335162,115.10077519379846,4.315936585002678,481.4415881700709,0,1
547.7323232782811,106.36637178250555,106.36637178250555,13244.670016152026,2585719.6241288194,0.07548326909538351,23.813953488372093,4.057743478902794,547.7323232782812,0,1
5653.602980637356,118.7340721815188,118.7340721815188,3778.0376610145136,647440.1044283081,0.07672810148446897,107.16279069767442,3.6916827097995464,5653.602980637357,0,2
5469.9470461024075,114.70190869320562,114.70190869320562,3625.2603080863582,622085.3944601001,0.07164549035169474,107.16279069767442,3.6705192817083643,5469.9470461024075,0,2
5251.438608739067,110.67774122719793,110.67774122719793,3467.8589915749712,592644.8534167247,0.07438113448425149,103.1937984496124,3.6654154942879744,5251.438608739067,0,2
4143.480671106046,110.9931780585552,110.9931780585552,4203.027119709605,758646.9585430326,0.077405129108757,103.1937984496124,3.6953798356981857,4143.480671106046,0,2
3635.775469832357,112.469665639145,112.469665639145,4531.181419502304,831874.3025084675,0.10474103690470443,95.25581395348837,3.681697654041279,3635.7754698323565,0,2
3104.6572555778725,112.63924036396499,112.63924036396499,4443.178962874463,814256.7734158162,0.0969490851103713,95.25581395348837,3.6871990251804534,3104.657255577873,0,2
